name	x	y	z	hemisphere
LA1	1.729389341	-14.26146231	-8.472004822	L
LA2	1.729389341	-12.94324041	-7.350758615	L
LA3	1.729389341	-12.94324041	-7.350758615	L
LA4	1.729389341	-12.94324041	-7.350758615	L
LA5	1.729389341	-11.85229816	-5.89616894	L
LA6	1.729389341	-11.85229816	-5.89616894	L
LA7	1.729389341	-11.85229816	-5.89616894	L
LA8	1.729389341	-10.03406107	-4.441579266	L
LH1	16.37217732	-5.854195436	-17.04356665	L
LH2	16.37217732	-4.57335287	-15.55812614	L
LH3	16.37217732	-3.373259614	-14.23170727	L
LH4	16.37217732	-2.425817569	-12.90528841	L
LH5	16.37217732	-1.352049918	-11.51570675	L
LH6	16.37217732	0.227020156	-10.37877629	L
LH7	16.37217732	1.427113413	-8.926031824	L
LH8	16.9464043	2.500881064	-7.346961749	L
RA1	-2.290199515	-12.21605203	-8.104915385	R
RA2	-2.290199515	-11.01595877	-6.525845311	R
RA3	-2.290199515	-11.01595877	-6.525845311	R
RA4	-2.290199515	-11.01595877	-6.525845311	R
RA5	-2.290199515	-9.247400291	-5.262589251	R
RA6	-2.290199515	-9.247400291	-5.262589251	R
RA7	-2.290199515	-9.247400291	-5.262589251	R
RA8	-2.290199515	-7.73149302	-4.125658797	R
RH1	-16.07164702	-8.615772261	-17.57933583	R
RH2	-16.07164702	-6.910376581	-16.12659136	R
RH3	-16.07164702	-5.583957718	-15.17914932	R
RH4	-15.78453353	-3.689073629	-13.91589326	R
RH5	-15.78453353	-2.173166357	-12.77896281	R
RH6	-15.78453353	-0.657259085	-11.64203235	R
RH7	-15.78453353	0.353345762	-10.82091591	R
RH8	-15.49742004	1.869253034	-9.431334248	R